nodes	forward	backward	absence
Tin_2_4h-Tin_4_6h	0.603666666666667	0.396333333333333	0
Tin_2_4h-Tin_6_8h	0.350333333333333	0.0943333333333333	0.555333333333333
Tin_2_4h-Bin_6_8h	0.0753333333333333	0.038	0.886666666666667
Tin_2_4h-Bin_8_10h	0.107333333333333	0.0356666666666667	0.857
Tin_2_4h-Bin_10_12h	0.0516666666666667	0.0296666666666667	0.918666666666667
Tin_2_4h-Twi_2_4h	0.0473333333333333	0.056	0.896666666666667
Tin_2_4h-Twi_4_6h	0.150333333333333	0.784	0.0656666666666667
Tin_2_4h-Twi_6_8h	0.153333333333333	0.28	0.566666666666667
Tin_2_4h-Bap_6_8h	0.064	0.017	0.919
Tin_2_4h-Mef2_2_4h	0.055	0.0193333333333333	0.925666666666667
Tin_2_4h-Mef2_4_6h	0.23	0.067	0.703
Tin_2_4h-Mef2_6_8h	0.0546666666666667	0.0656666666666667	0.879666666666667
Tin_2_4h-Mef2_8_10h	0.064	0.056	0.88
Tin_2_4h-Mef2_10_12h	0.0913333333333333	0.051	0.857666666666667
Tin_2_4h-Meso	0.199333333333333	0	0.800666666666667
Tin_2_4h-VM	0.111	0	0.889
Tin_2_4h-SM	0.720666666666667	0	0.279333333333333
Tin_2_4h-CM	0.290333333333333	0	0.709666666666667
Tin_2_4h-Meso_SM	0.601666666666667	0	0.398333333333333
Tin_2_4h-VM_SM	0.109666666666667	0	0.890333333333333
Tin_4_6h-Tin_6_8h	0.771666666666667	0.225333333333333	0.003
Tin_4_6h-Bin_6_8h	0.166333333333333	0.0603333333333333	0.773333333333333
Tin_4_6h-Bin_8_10h	0.116666666666667	0.0246666666666667	0.858666666666667
Tin_4_6h-Bin_10_12h	0.232333333333333	0.0343333333333333	0.733333333333333
Tin_4_6h-Twi_2_4h	0.059	0.0446666666666667	0.896333333333333
Tin_4_6h-Twi_4_6h	0.114666666666667	0.815666666666667	0.0696666666666667
Tin_4_6h-Twi_6_8h	0.318666666666667	0.65	0.0313333333333333
Tin_4_6h-Bap_6_8h	0.108333333333333	0.0396666666666667	0.852
Tin_4_6h-Mef2_2_4h	0.135	0.0346666666666667	0.830333333333333
Tin_4_6h-Mef2_4_6h	0.646333333333333	0.353333333333333	0.000333333333333333
Tin_4_6h-Mef2_6_8h	0.132	0.127	0.741
Tin_4_6h-Mef2_8_10h	0.0706666666666667	0.0606666666666667	0.868666666666667
Tin_4_6h-Mef2_10_12h	0.135666666666667	0.0493333333333333	0.815
Tin_4_6h-Meso	0.151	0	0.849
Tin_4_6h-VM	0.238666666666667	0	0.761333333333333
Tin_4_6h-SM	0.122333333333333	0	0.877666666666667
Tin_4_6h-CM	0.368	0	0.632
Tin_4_6h-Meso_SM	0.318666666666667	0	0.681333333333333
Tin_4_6h-VM_SM	0.442666666666667	0	0.557333333333333
Tin_6_8h-Bin_6_8h	0.548666666666667	0.330666666666667	0.120666666666667
Tin_6_8h-Bin_8_10h	0.0463333333333333	0.172	0.781666666666667
Tin_6_8h-Bin_10_12h	0.0723333333333333	0.078	0.849666666666667
Tin_6_8h-Twi_2_4h	0.156666666666667	0.590666666666667	0.252666666666667
Tin_6_8h-Twi_4_6h	0.00233333333333333	0.0823333333333333	0.915333333333333
Tin_6_8h-Twi_6_8h	0.081	0.286666666666667	0.632333333333333
Tin_6_8h-Bap_6_8h	0.973666666666667	0.0263333333333333	0
Tin_6_8h-Mef2_2_4h	0.564666666666667	0.215666666666667	0.219666666666667
Tin_6_8h-Mef2_4_6h	0.0543333333333333	0.087	0.858666666666667
Tin_6_8h-Mef2_6_8h	0.186	0.801666666666667	0.0123333333333333
Tin_6_8h-Mef2_8_10h	0.055	0.104666666666667	0.840333333333333
Tin_6_8h-Mef2_10_12h	0.0336666666666667	0.0483333333333333	0.918
Tin_6_8h-Meso	0.317666666666667	0	0.682333333333333
Tin_6_8h-VM	0.252333333333333	0	0.747666666666667
Tin_6_8h-SM	0.114	0	0.886
Tin_6_8h-CM	0.123333333333333	0	0.876666666666667
Tin_6_8h-Meso_SM	0.156666666666667	0	0.843333333333333
Tin_6_8h-VM_SM	0.117	0	0.883
Bin_6_8h-Bin_8_10h	0.675333333333333	0.324666666666667	0
Bin_6_8h-Bin_10_12h	0.432333333333333	0.483	0.0846666666666667
Bin_6_8h-Twi_2_4h	0.232666666666667	0.260666666666667	0.506666666666667
Bin_6_8h-Twi_4_6h	0.0226666666666667	0.074	0.903333333333333
Bin_6_8h-Twi_6_8h	0.0333333333333333	0.044	0.922666666666667
Bin_6_8h-Bap_6_8h	0.789333333333333	0.210666666666667	0
Bin_6_8h-Mef2_2_4h	0.0983333333333333	0.0456666666666667	0.856
Bin_6_8h-Mef2_4_6h	0.0736666666666667	0.0583333333333333	0.868
Bin_6_8h-Mef2_6_8h	0.031	0.068	0.901
Bin_6_8h-Mef2_8_10h	0.264333333333333	0.116666666666667	0.619
Bin_6_8h-Mef2_10_12h	0.224666666666667	0.0943333333333333	0.681
Bin_6_8h-Meso	0.123333333333333	0	0.876666666666667
Bin_6_8h-VM	0.638	0	0.362
Bin_6_8h-SM	0.0973333333333333	0	0.902666666666667
Bin_6_8h-CM	0.103333333333333	0	0.896666666666667
Bin_6_8h-Meso_SM	0.119	0	0.881
Bin_6_8h-VM_SM	0.255	0	0.745
Bin_8_10h-Bin_10_12h	0.325	0.675	0
Bin_8_10h-Twi_2_4h	0.0406666666666667	0.0626666666666667	0.896666666666667
Bin_8_10h-Twi_4_6h	0.033	0.156	0.811
Bin_8_10h-Twi_6_8h	0.0353333333333333	0.05	0.914666666666667
Bin_8_10h-Bap_6_8h	0.083	0.064	0.853
Bin_8_10h-Mef2_2_4h	0.0426666666666667	0.0753333333333333	0.882
Bin_8_10h-Mef2_4_6h	0.069	0.133666666666667	0.797333333333333
Bin_8_10h-Mef2_6_8h	0.0443333333333333	0.112	0.843666666666667
Bin_8_10h-Mef2_8_10h	0.0593333333333333	0.063	0.877666666666667
Bin_8_10h-Mef2_10_12h	0.0473333333333333	0.0373333333333333	0.915333333333333
Bin_8_10h-Meso	0.237333333333333	0	0.762666666666667
Bin_8_10h-VM	0.274	0	0.726
Bin_8_10h-SM	0.0966666666666667	0	0.903333333333333
Bin_8_10h-CM	0.137666666666667	0	0.862333333333333
Bin_8_10h-Meso_SM	0.143333333333333	0	0.856666666666667
Bin_8_10h-VM_SM	0.129	0	0.871
Bin_10_12h-Twi_2_4h	0.185	0.304666666666667	0.510333333333333
Bin_10_12h-Twi_4_6h	0.0616666666666667	0.159	0.779333333333333
Bin_10_12h-Twi_6_8h	0.0453333333333333	0.0483333333333333	0.906333333333333
Bin_10_12h-Bap_6_8h	0.047	0.0283333333333333	0.924666666666667
Bin_10_12h-Mef2_2_4h	0.0443333333333333	0.0376666666666667	0.918
Bin_10_12h-Mef2_4_6h	0.0676666666666667	0.055	0.877333333333333
Bin_10_12h-Mef2_6_8h	0.0576666666666667	0.0623333333333333	0.88
Bin_10_12h-Mef2_8_10h	0.184	0.103	0.713
Bin_10_12h-Mef2_10_12h	0.0433333333333333	0.0343333333333333	0.922333333333333
Bin_10_12h-Meso	0.365333333333333	0	0.634666666666667
Bin_10_12h-VM	0.236	0	0.764
Bin_10_12h-SM	0.117666666666667	0	0.882333333333333
Bin_10_12h-CM	0.261333333333333	0	0.738666666666667
Bin_10_12h-Meso_SM	0.165333333333333	0	0.834666666666667
Bin_10_12h-VM_SM	0.370666666666667	0	0.629333333333333
Twi_2_4h-Twi_4_6h	0.301	0.699	0
Twi_2_4h-Twi_6_8h	0.0706666666666667	0.039	0.890333333333333
Twi_2_4h-Bap_6_8h	0.073	0.0523333333333333	0.874666666666667
Twi_2_4h-Mef2_2_4h	0.401	0.111	0.488
Twi_2_4h-Mef2_4_6h	0.0376666666666667	0.0216666666666667	0.940666666666667
Twi_2_4h-Mef2_6_8h	0.173333333333333	0.130666666666667	0.696
Twi_2_4h-Mef2_8_10h	0.158	0.148333333333333	0.693666666666667
Twi_2_4h-Mef2_10_12h	0.349	0.286	0.365
Twi_2_4h-Meso	0.876	0	0.124
Twi_2_4h-VM	0.185	0	0.815
Twi_2_4h-SM	0.143333333333333	0	0.856666666666667
Twi_2_4h-CM	0.353666666666667	0	0.646333333333333
Twi_2_4h-Meso_SM	0.2	0	0.8
Twi_2_4h-VM_SM	0.983666666666667	0	0.0163333333333333
Twi_4_6h-Twi_6_8h	0.891333333333333	0.108666666666667	0
Twi_4_6h-Bap_6_8h	0.061	0.004	0.935
Twi_4_6h-Mef2_2_4h	0.057	0.006	0.937
Twi_4_6h-Mef2_4_6h	0.982333333333333	0.0176666666666667	0
Twi_4_6h-Mef2_6_8h	0.117333333333333	0.0776666666666667	0.805
Twi_4_6h-Mef2_8_10h	0.180333333333333	0.0503333333333333	0.769333333333333
Twi_4_6h-Mef2_10_12h	0.176666666666667	0.059	0.764333333333333
Twi_4_6h-Meso	0.163	0	0.837
Twi_4_6h-VM	0.713666666666667	0	0.286333333333333
Twi_4_6h-SM	0.153666666666667	0	0.846333333333333
Twi_4_6h-CM	0.143	0	0.857
Twi_4_6h-Meso_SM	0.12	0	0.88
Twi_4_6h-VM_SM	0.143666666666667	0	0.856333333333333
Twi_6_8h-Bap_6_8h	0.0663333333333333	0.0226666666666667	0.911
Twi_6_8h-Mef2_2_4h	0.0533333333333333	0.0193333333333333	0.927333333333333
Twi_6_8h-Mef2_4_6h	0.242	0.294	0.464
Twi_6_8h-Mef2_6_8h	0.363	0.637	0
Twi_6_8h-Mef2_8_10h	0.0863333333333333	0.148	0.765666666666667
Twi_6_8h-Mef2_10_12h	0.0633333333333333	0.0513333333333333	0.885333333333333
Twi_6_8h-Meso	0.126333333333333	0	0.873666666666667
Twi_6_8h-VM	0.113	0	0.887
Twi_6_8h-SM	0.145333333333333	0	0.854666666666667
Twi_6_8h-CM	0.201333333333333	0	0.798666666666667
Twi_6_8h-Meso_SM	0.131	0	0.869
Twi_6_8h-VM_SM	0.134	0	0.866
Bap_6_8h-Mef2_2_4h	0.037	0.04	0.923
Bap_6_8h-Mef2_4_6h	0.024	0.0513333333333333	0.924666666666667
Bap_6_8h-Mef2_6_8h	0.0203333333333333	0.112666666666667	0.867
Bap_6_8h-Mef2_8_10h	0.0523333333333333	0.197333333333333	0.750333333333333
Bap_6_8h-Mef2_10_12h	0.0273333333333333	0.193666666666667	0.779
Bap_6_8h-Meso	0.132	0	0.868
