nodes	zero	one	two
Tin_2_4h-Tin_4_6h	0.317666666666667	0.682333333333333	0
Tin_2_4h-Tin_6_8h	0.166333333333333	0.156333333333333	0.677333333333333
Tin_2_4h-Bin_6_8h	0.0526666666666667	0.0673333333333333	0.88
Tin_2_4h-Bin_8_10h	0.089	0.045	0.866
Tin_2_4h-Bin_10_12h	0.053	0.0323333333333333	0.914666666666667
Tin_2_4h-Twi_2_4h	0.06	0.083	0.857
Tin_2_4h-Twi_4_6h	0.181333333333333	0.682	0.136666666666667
Tin_2_4h-Twi_6_8h	0.3	0.340666666666667	0.359333333333333
Tin_2_4h-Bap_6_8h	0.048	0.025	0.927
Tin_2_4h-Mef2_2_4h	0.0503333333333333	0.029	0.920666666666667
Tin_2_4h-Mef2_4_6h	0.133	0.0736666666666667	0.793333333333333
Tin_2_4h-Mef2_6_8h	0.049	0.078	0.873
Tin_2_4h-Mef2_8_10h	0.0506666666666667	0.0753333333333333	0.874
Tin_2_4h-Mef2_10_12h	0.0893333333333333	0.0576666666666667	0.853
Tin_2_4h-Meso	0.208	0	0.792
Tin_2_4h-VM	0.109	0	0.891
Tin_2_4h-SM	0.728666666666667	0	0.271333333333333
Tin_2_4h-CM	0.277333333333333	0	0.722666666666667
Tin_2_4h-Meso_SM	0.589	0	0.411
Tin_2_4h-VM_SM	0.125	0	0.875
Tin_4_6h-Tin_6_8h	0.563666666666667	0.434	0.00233333333333333
Tin_4_6h-Bin_6_8h	0.118	0.0533333333333333	0.828666666666667
Tin_4_6h-Bin_8_10h	0.133	0.0296666666666667	0.837333333333333
Tin_4_6h-Bin_10_12h	0.266	0.0476666666666667	0.686333333333333
Tin_4_6h-Twi_2_4h	0.0716666666666667	0.197	0.731333333333333
Tin_4_6h-Twi_4_6h	0.423666666666667	0.547333333333333	0.029
Tin_4_6h-Twi_6_8h	0.65	0.309333333333333	0.0406666666666667
Tin_4_6h-Bap_6_8h	0.0923333333333333	0.0553333333333333	0.852333333333333
Tin_4_6h-Mef2_2_4h	0.140666666666667	0.0323333333333333	0.827
Tin_4_6h-Mef2_4_6h	0.707333333333333	0.292666666666667	0
Tin_4_6h-Mef2_6_8h	0.127666666666667	0.126333333333333	0.746
Tin_4_6h-Mef2_8_10h	0.083	0.0683333333333333	0.848666666666667
Tin_4_6h-Mef2_10_12h	0.131666666666667	0.0686666666666667	0.799666666666667
Tin_4_6h-Meso	0.147666666666667	0	0.852333333333333
Tin_4_6h-VM	0.233	0	0.767
Tin_4_6h-SM	0.130666666666667	0	0.869333333333333
Tin_4_6h-CM	0.343666666666667	0	0.656333333333333
Tin_4_6h-Meso_SM	0.322333333333333	0	0.677666666666667
Tin_4_6h-VM_SM	0.451333333333333	0	0.548666666666667
Tin_6_8h-Bin_6_8h	0.526333333333333	0.257666666666667	0.216
Tin_6_8h-Bin_8_10h	0.0563333333333333	0.139666666666667	0.804
Tin_6_8h-Bin_10_12h	0.102333333333333	0.0503333333333333	0.847333333333333
Tin_6_8h-Twi_2_4h	0.214	0.38	0.406
Tin_6_8h-Twi_4_6h	0.0763333333333333	0.049	0.874666666666667
Tin_6_8h-Twi_6_8h	0.210333333333333	0.137333333333333	0.652333333333333
Tin_6_8h-Bap_6_8h	0.85	0.15	0
Tin_6_8h-Mef2_2_4h	0.650333333333333	0.150333333333333	0.199333333333333
Tin_6_8h-Mef2_4_6h	0.148	0.100333333333333	0.751666666666667
Tin_6_8h-Mef2_6_8h	0.468333333333333	0.510666666666667	0.021
Tin_6_8h-Mef2_8_10h	0.154333333333333	0.103333333333333	0.742333333333333
Tin_6_8h-Mef2_10_12h	0.05	0.039	0.911
Tin_6_8h-Meso	0.316666666666667	0	0.683333333333333
Tin_6_8h-VM	0.247	0	0.753
Tin_6_8h-SM	0.111666666666667	0	0.888333333333333
Tin_6_8h-CM	0.114	0	0.886
Tin_6_8h-Meso_SM	0.146333333333333	0	0.853666666666667
Tin_6_8h-VM_SM	0.143666666666667	0	0.856333333333333
Bin_6_8h-Bin_8_10h	0.742	0.258	0
Bin_6_8h-Bin_10_12h	0.530666666666667	0.385333333333333	0.084
Bin_6_8h-Twi_2_4h	0.323	0.217666666666667	0.459333333333333
Bin_6_8h-Twi_4_6h	0.031	0.0533333333333333	0.915666666666667
