nodes	zero	one	two
Meso-VM	0.158666666666667	0.152333333333333	0.689
Meso-SM	0.138	0.138	0.724
Meso-CM	0.133666666666667	0.132	0.734333333333333
Meso-Meso_SM	0.0983333333333333	0.108666666666667	0.793
Meso-VM_SM	0.210333333333333	0.243	0.546666666666667
Meso-Tin_2_4h	0.141666666666667	0	0.858333333333333
Meso-Tin_4_6h	0.114666666666667	0	0.885333333333333
Meso-Tin_6_8h	0.22	0	0.78
Meso-Bin_6_8h	0.121	0	0.879
Meso-Bin_8_10h	0.128666666666667	0	0.871333333333333
Meso-Bin_10_12h	0.133666666666667	0	0.866333333333333
Meso-Twi_2_4h	0.893	0	0.107
Meso-Twi_4_6h	0.324	0	0.676
Meso-Twi_6_8h	0.124666666666667	0	0.875333333333333
Meso-Bap_6_8h	0.100333333333333	0	0.899666666666667
Meso-Mef2_2_4h	0.0996666666666667	0	0.900333333333333
Meso-Mef2_4_6h	0.159666666666667	0	0.840333333333333
Meso-Mef2_6_8h	0.192333333333333	0	0.807666666666667
Meso-Mef2_8_10h	0.175333333333333	0	0.824666666666667
Meso-Mef2_10_12h	0.145	0	0.855
VM-SM	0.087	0.094	0.819
VM-CM	0.0776666666666667	0.0833333333333333	0.839
VM-Meso_SM	0.0746666666666667	0.0796666666666667	0.845666666666667
VM-VM_SM	0.134333333333333	0.126333333333333	0.739333333333333
VM-Tin_2_4h	0.126333333333333	0	0.873666666666667
VM-Tin_4_6h	0.212	0	0.788
VM-Tin_6_8h	0.468	0	0.532
VM-Bin_6_8h	0.817666666666667	0	0.182333333333333
VM-Bin_8_10h	0.718333333333333	0	0.281666666666667
VM-Bin_10_12h	0.408333333333333	0	0.591666666666667
VM-Twi_2_4h	0.249333333333333	0	0.750666666666667
VM-Twi_4_6h	0.814333333333333	0	0.185666666666667
VM-Twi_6_8h	0.124666666666667	0	0.875333333333333
VM-Bap_6_8h	0.353666666666667	0	0.646333333333333
VM-Mef2_2_4h	0.116666666666667	0	0.883333333333333
VM-Mef2_4_6h	0.134333333333333	0	0.865666666666667
VM-Mef2_6_8h	0.155	0	0.845
VM-Mef2_8_10h	0.136	0	0.864
VM-Mef2_10_12h	0.107333333333333	0	0.892666666666667
SM-CM	0.0836666666666667	0.0813333333333333	0.835
SM-Meso_SM	0.068	0.068	0.864
SM-VM_SM	0.117666666666667	0.102666666666667	0.779666666666667
SM-Tin_2_4h	0.363666666666667	0	0.636333333333333
SM-Tin_4_6h	0.144	0	0.856
SM-Tin_6_8h	0.112666666666667	0	0.887333333333333
SM-Bin_6_8h	0.109333333333333	0	0.890666666666667
SM-Bin_8_10h	0.098	0	0.902
SM-Bin_10_12h	0.105666666666667	0	0.894333333333333
SM-Twi_2_4h	0.172	0	0.828
SM-Twi_4_6h	0.174666666666667	0	0.825333333333333
SM-Twi_6_8h	0.157	0	0.843
SM-Bap_6_8h	0.133666666666667	0	0.866333333333333
SM-Mef2_2_4h	0.107	0	0.893
SM-Mef2_4_6h	0.101	0	0.899
SM-Mef2_6_8h	0.784666666666667	0	0.215333333333333
SM-Mef2_8_10h	0.156	0	0.844
SM-Mef2_10_12h	0.984	0	0.016
CM-Meso_SM	0.0643333333333333	0.07	0.865666666666667
CM-VM_SM	0.109	0.116666666666667	0.774333333333333
CM-Tin_2_4h	0.403666666666667	0	0.596333333333333
CM-Tin_4_6h	0.336333333333333	0	0.663666666666667
CM-Tin_6_8h	0.104333333333333	0	0.895666666666667
CM-Bin_6_8h	0.0973333333333333	0	0.902666666666667
CM-Bin_8_10h	0.154333333333333	0	0.845666666666667
CM-Bin_10_12h	0.692666666666667	0	0.307333333333333
CM-Twi_2_4h	0.286	0	0.714
CM-Twi_4_6h	0.128666666666667	0	0.871333333333333
CM-Twi_6_8h	0.147	0	0.853
CM-Bap_6_8h	0.096	0	0.904
CM-Mef2_2_4h	0.258	0	0.742
CM-Mef2_4_6h	0.177	0	0.823
CM-Mef2_6_8h	0.101	0	0.899
CM-Mef2_8_10h	0.107333333333333	0	0.892666666666667
CM-Mef2_10_12h	0.306333333333333	0	0.693666666666667
Meso_SM-VM_SM	0.0883333333333333	0.0806666666666667	0.831
Meso_SM-Tin_2_4h	0.792666666666667	0	0.207333333333333
Meso_SM-Tin_4_6h	0.679666666666667	0	0.320333333333333
Meso_SM-Tin_6_8h	0.213333333333333	0	0.786666666666667
Meso_SM-Bin_6_8h	0.114333333333333	0	0.885666666666667
Meso_SM-Bin_8_10h	0.118	0	0.882
Meso_SM-Bin_10_12h	0.146333333333333	0	0.853666666666667
Meso_SM-Twi_2_4h	0.375333333333333	0	0.624666666666667
Meso_SM-Twi_4_6h	0.138	0	0.862
Meso_SM-Twi_6_8h	0.124333333333333	0	0.875666666666667
Meso_SM-Bap_6_8h	0.244333333333333	0	0.755666666666667
Meso_SM-Mef2_2_4h	0.954	0	0.046
Meso_SM-Mef2_4_6h	0.572666666666667	0	0.427333333333333
Meso_SM-Mef2_6_8h	0.150666666666667	0	0.849333333333333
Meso_SM-Mef2_8_10h	0.128	0	0.872
Meso_SM-Mef2_10_12h	0.138333333333333	0	0.861666666666667
VM_SM-Tin_2_4h	0.150333333333333	0	0.849666666666667
VM_SM-Tin_4_6h	0.525	0	0.475
VM_SM-Tin_6_8h	0.131666666666667	0	0.868333333333333
VM_SM-Bin_6_8h	0.328	0	0.672
VM_SM-Bin_8_10h	0.191	0	0.809
VM_SM-Bin_10_12h	0.803666666666667	0	0.196333333333333
VM_SM-Twi_2_4h	0.721333333333333	0	0.278666666666667
VM_SM-Twi_4_6h	0.207333333333333	0	0.792666666666667
VM_SM-Twi_6_8h	0.113	0	0.887
VM_SM-Bap_6_8h	0.121333333333333	0	0.878666666666667
VM_SM-Mef2_2_4h	0.353666666666667	0	0.646333333333333
VM_SM-Mef2_4_6h	0.102	0	0.898
VM_SM-Mef2_6_8h	0.247	0	0.753
VM_SM-Mef2_8_10h	0.615666666666667	0	0.384333333333333
VM_SM-Mef2_10_12h	1	0	0
Tin_2_4h-Tin_4_6h	0.316666666666667	0.683333333333333	0
Tin_2_4h-Tin_6_8h	0.184333333333333	0.157	0.658666666666667
Tin_2_4h-Bin_6_8h	0.038	0.0696666666666667	0.892333333333333
Tin_2_4h-Bin_8_10h	0.0916666666666667	0.0513333333333333	0.857
Tin_2_4h-Bin_10_12h	0.0543333333333333	0.0446666666666667	0.901
Tin_2_4h-Twi_2_4h	0.119333333333333	0.074	0.806666666666667
Tin_2_4h-Twi_4_6h	0.299333333333333	0.483333333333333	0.217333333333333
Tin_2_4h-Twi_6_8h	0.413333333333333	0.319	0.267666666666667
Tin_2_4h-Bap_6_8h	0.0413333333333333	0.0393333333333333	0.919333333333333
Tin_2_4h-Mef2_2_4h	0.056	0.0323333333333333	0.911666666666667
Tin_2_4h-Mef2_4_6h	0.097	0.046	0.857
Tin_2_4h-Mef2_6_8h	0.069	0.073	0.858
Tin_2_4h-Mef2_8_10h	0.054	0.0856666666666667	0.860333333333333
Tin_2_4h-Mef2_10_12h	0.0533333333333333	0.0843333333333333	0.862333333333333
Tin_4_6h-Tin_6_8h	0.573666666666667	0.421666666666667	0.00466666666666667
Tin_4_6h-Bin_6_8h	0.134666666666667	0.0756666666666667	0.789666666666667
Tin_4_6h-Bin_8_10h	0.189333333333333	0.054	0.756666666666667
Tin_4_6h-Bin_10_12h	0.155	0.0826666666666667	0.762333333333333
Tin_4_6h-Twi_2_4h	0.123	0.225333333333333	0.651666666666667
Tin_4_6h-Twi_4_6h	0.787	0.194666666666667	0.0183333333333333
Tin_4_6h-Twi_6_8h	0.814666666666667	0.131	0.0543333333333333
Tin_4_6h-Bap_6_8h	0.104333333333333	0.204	0.691666666666667
Tin_4_6h-Mef2_2_4h	0.122333333333333	0.0623333333333333	0.815333333333333
Tin_4_6h-Mef2_4_6h	0.842	0.158	0
Tin_4_6h-Mef2_6_8h	0.198	0.097	0.705
Tin_4_6h-Mef2_8_10h	0.103333333333333	0.0866666666666667	0.81
Tin_4_6h-Mef2_10_12h	0.0486666666666667	0.0843333333333333	0.867
