Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
Meso	0	0	0	0	0	0.001	0	0	0	0	0	0	0.006	0	0	0	0	0	0	0	0
VM	0	0	0.001	0	0	0	0	0	0	0	0.024	0	0	0.003	0	0	0	0	0	0	0
SM	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0.002	0	0	0	0	0.003	0.001	0.008
CM	0	0	0	0	0	0.001	0	0.002	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Meso_SM	0	0	0	0	0	0	0.045	0.009	0	0	0.001	0	0	0	0	0.003	0.016	0.008	0	0	0
VM_SM	0	0	0.001	0.001	0.001	0	0	0.001	0	0	0	0.007	0.011	0	0.001	0	0	0	0	0.001	0.063
Tin_2_4h	0	0	0	0	0.685	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0
Tin_4_6h	0	0	0	0.001	0.037	0	0.874	0	0.822	0	0	0	0	0.636	0.033	0	0	0.445	0	0	0
Tin_6_8h	0	0	0	0	0	0	0.001	0.178	0	0	0	0	0.003	0	0.001	0.89	0.007	0.001	0.137	0	0
Bin_6_8h	0	0.409	0	0	0	0	0	0	0	0	0.937	0.007	0.003	0	0	0.088	0.001	0	0	0	0
Bin_8_10h	0	0.564	0	0	0	0	0	0	0	0.063	0	0.972	0	0	0	0	0	0	0	0	0
Bin_10_12h	0	0.002	0	0	0	0.007	0	0	0	0	0.028	0	0	0	0	0	0	0	0	0	0
Twi_2_4h	0.036	0	0	0.001	0	0.002	0.004	0	0.007	0	0	0	0	0.065	0	0	0	0	0.002	0.003	0
Twi_4_6h	0	0	0	0	0.001	0	0	0.364	0	0	0.002	0	0.935	0	0.997	0	0	0.354	0	0	0
Twi_6_8h	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0.003	0	0	0.001	0	0.004	0	0.001
Bap_6_8h	0.001	0.001	0	0	0	0	0	0	0.11	0.912	0	0	0.005	0	0	0	0	0	0	0	0
Mef2_2_4h	0	0	0	0	0.156	0.006	0	0	0.003	0	0.002	0	0	0	0	0	0	0.114	0.011	0	0
Mef2_4_6h	0	0	0	0	0.059	0	0	0.555	0	0	0.001	0	0	0.554	0.005	0	0.886	0	0.507	0	0
Mef2_6_8h	0	0	0.001	0	0	0	0	0	0.832	0	0.002	0	0	0.001	0.996	0	0.017	0.493	0	0.753	0
Mef2_8_10h	0	0	0.002	0	0	0.003	0	0	0	0	0	0	0.003	0.039	0	0	0.016	0.033	0.247	0	0.854
Mef2_10_12h	0	0	0.014	0	0	0.937	0	0	0	0	0	0	0	0.015	0	0	0.008	0	0	0.146	0
