	Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
Meso	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0.001	0	0.002	0	0
VM	0	0	0.001	0.002	0	0	0.001	0	0	0.002	0.002	0	0	0.001	0	0	0	0	0	0	0
SM	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0.001	0	0	0.003	0	0.011
CM	0.001	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0	0.001	0	0	0.001	0
Meso_SM	0	0	0.001	0	0	0	0.046	0.004	0	0	0	0	0	0	0	0.001	0.018	0.019	0	0	0
VM_SM	0	0	0.001	0	0	0	0	0	0	0.002	0.001	0	0.002	0	0	0	0	0	0	0.001	0.101
Tin_2_4h	0	0	0	0	0.636	0	0	0.098	0	0	0	0	0	0	0	0	0	0	0	0	0
Tin_4_6h	0	0	0	0	0.043	0	0.902	0	0.975	0	0.001	0	0	0.394	0.029	0	0	0.246	0	0	0
Tin_6_8h	0	0	0.001	0	0	0	0	0.025	0	0	0	0	0.005	0	0.001	0.987	0.006	0	0.029	0	0
Bin_6_8h	0	0.441	0	0	0	0.001	0	0	0	0	0.995	0	0.006	0	0	0.01	0	0	0	0	0.001
Bin_8_10h	0.001	0.554	0.001	0	0	0	0	0	0	0.005	0	0.998	0	0	0	0	0	0	0	0	0
Bin_10_12h	0	0.001	0	0	0	0.007	0	0	0	0	0.002	0	0.001	0	0	0	0	0	0	0	0
Twi_2_4h	0.033	0	0	0	0.001	0.002	0	0	0.008	0	0	0	0	0.091	0.001	0	0	0	0.002	0.001	0
Twi_4_6h	0	0	0	0	0.001	0	0	0.606	0	0	0.001	0	0.909	0	0.784	0	0	0.479	0	0	0
Twi_6_8h	0.001	0	0	0	0	0	0	0.006	0	0	0	0	0	0.216	0	0	0	0.004	0.125	0	0
Bap_6_8h	0	0	0.001	0	0.001	0	0	0	0.013	0.99	0	0	0.004	0	0	0	0.001	0	0	0.001	0
Mef2_2_4h	0	0	0	0	0.208	0.002	0	0	0.005	0	0.002	0	0	0	0	0	0	0.079	0.005	0.001	0
Mef2_4_6h	0	0	0.001	0	0.049	0	0	0.754	0	0	0.007	0	0	0.465	0.001	0	0.921	0	0.394	0	0
Mef2_6_8h	0.001	0	0.001	0	0	0	0	0	0.936	0	0.002	0	0	0	0.875	0	0.025	0.606	0	0.671	0
Mef2_8_10h	0	0	0.001	0	0	0.001	0	0	0.006	0	0	0	0	0.053	0	0	0.013	0.024	0.329	0	0.794
Mef2_10_12h	0	0	0.004	0	0	0.899	0	0.001	0	0	0	0	0.001	0.007	0	0	0.007	0	0	0.206	0
