Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
0	0	0	0	0	0	0	0	0	0	0	0	0.597092	0.0096493	0	0	0	0	0	0	0
0	0	0	0	0	0.0156013	0	0.0439973	0.0299206	0.0594271	0.0824827	0	0	0.0947452	0	0	0	0	0	0	0
0	0	0	0	0	0.2404042	0.0746559	0	0	0	0	0	0	0	0	0	0	0	0.5208091	0	0.864613
0	0	0	0	0	0.0410132	0.1071222	0.0978201	0	0	0.038303	0.2920771	0.0088469	0	0	0	0.0083401	0	0	0	0.0525319
0.0413474	0	0	0	0	0	0.2017682	0	0	0	0	0	0.0158153	0	0	0.055466	0.7347609	0.0921584	0	0	0
0	0.0669105	0.1540822	0	0	0	0	0.119645	0	0	0	0.3226523	0.3235958	0	0	0	0.0567667	0	0	0.0391317	1
0.0557804	0	0.0954899	0	1	0	0	1	0.0574302	0	0.0462496	0	0.0295926	0.7462415	0.4094466	0	0	0	0.0251747	0.0155119	0
0.0416335	0	0	0.0442902	0	0.0756942	1	0	1	0.0376139	0.0398257	0.0825643	0.0096201	0.5072467	0.9411584	0	0	1	0	0.0228045	0.014814
0.0696796	0.0473186	0	0	0.0661747	0	0.0260853	0.9297136	0	0.4566184	0	0.020432	0.336674	0	0.0606721	1	0.6795114	0	0.4686467	0	0
0	0.5706734	0	0	0	0.0314325	0	0	0.214676	0	1	0.4771041	0.5106748	0	0	1	0.0078995	0.0595924	0	0.5599921	0.4658517
0	0.5869371	0	0	0	0	0	0	0.0240475	1	0	1	0	0	0	0	0	0.0359738	0.016865	0.109754	0.0268129
0	0.0201761	0	0.0755222	0	0.6625226	0	0	0	0.7031742	1	0	0.0569743	0	0	0	0	0	0.0081039	0.2188153	0.0232756
0.953359	0.0238035	0	0.0812783	0	0.180636	0.0162687	0	0.1544343	0	0	0.0876276	0	1	0	0	0.1232558	0	0.1544023	0	0.039966
0	0.1636076	0	0	0	0.0145902	0.6297227	0.6964633	0	0	0.0516612	0.0271436	1	0	1	0	0	1	0.1890326	0.0691699	0.0167655
0.0298134	0.0138275	0	0.0417405	0	0	0.4862559	0.9426495	0.0570374	0	0	0	0	1	0	0	0	0.0809783	1	0	0
0	0.1316611	0	0	0.3302523	0	0	0.0976065	1	1	0	0	0.1292672	0	0	0	0.0079952	0	0.0523922	0.016966	0
0.0343798	0.0101649	0	0	0.9354943	0.2658561	0	0	0.2451225	0.0539232	0.0424498	0	0.0882891	0.0116954	0	0	0	0.8926633	0.1337146	0.0416426	0.2028717
0	0.0135651	0	0	0	0	0	0.979499	0	0	0.0789453	0.0093214	0	0.9323105	0.210357	0	1	0	1	0.3751962	0
0.0619105	0.0166766	0.1502701	0	0	0	0.0169322	0	0.9125335	0.0155516	0.0533966	0	0.0407406	0.2043514	1	0.0516906	0.4465384	1	0	1	0
0.0486771	0.0521641	0	0	0	0.0609907	0.015587	0	0	0	0	0	0.059751	0.3547159	0	0.0814797	0.3529094	0.9284548	1	0	1
0	0.0102017	0.6273937	0	0	1	0	0	0	0.0193619	0	0	0.2505143	0.0436543	0	0.1008872	0.4157561	0	0	1	0
