nodes	zero	one	two
Tin_2_4h-Tin_4_6h	0.767666666666667	0.232333333333333	0
Tin_2_4h-Twi_4_6h	0.294333333333333	0.673	0.0326666666666667
Tin_2_4h-Meso_SM	0.588	0	0.412
Tin_4_6h-Twi_4_6h	0.208333333333333	0.764333333333333	0.0273333333333333
Tin_4_6h-Twi_6_8h	0.123333333333333	0.872666666666667	0.004
Tin_4_6h-Mef2_2_4h	0.993333333333333	0.00633333333333333	0.000333333333333333
Tin_4_6h-Mef2_4_6h	0.945666666666667	0.0543333333333333	0
Tin_4_6h-Meso_SM	0.325666666666667	0	0.674333333333333
Tin_6_8h-Bin_6_8h	0.309666666666667	0.269666666666667	0.420666666666667
Tin_6_8h-Bap_6_8h	0.478333333333333	0.521666666666667	0
Tin_6_8h-Meso_SM	0.204333333333333	0	0.795666666666667
Bin_6_8h-Bin_8_10h	0.739666666666667	0.260333333333333	0
Bin_6_8h-Bin_10_12h	0.467666666666667	0.400666666666667	0.131666666666667
Bin_6_8h-Bap_6_8h	0.721333333333333	0.278666666666667	0
Bin_6_8h-VM	0.797	0	0.203
Bin_8_10h-Bin_10_12h	0.444666666666667	0.555333333333333	0
Bin_8_10h-VM	0.317	0	0.683
Bin_10_12h-VM	0.168333333333333	0	0.831666666666667
Bin_10_12h-CM	0.254	0	0.746
Bin_10_12h-VM_SM	0.537666666666667	0	0.462333333333333
Twi_2_4h-Twi_4_6h	0.124333333333333	0.875666666666667	0
Twi_2_4h-Meso	0.974333333333333	0	0.0256666666666667
Twi_2_4h-VM_SM	0.993	0	0.007
Twi_4_6h-Twi_6_8h	0.389666666666667	0.610333333333333	0
Twi_4_6h-Mef2_4_6h	0.968	0.032	0
Twi_6_8h-Mef2_6_8h	0.549333333333333	0.450666666666667	0
Mef2_2_4h-Mef2_6_8h	0.01	0.99	0
Mef2_2_4h-Mef2_10_12h	0.009	0.904333333333333	0.0866666666666667
Mef2_2_4h-Meso_SM	0.370333333333333	0	0.629666666666667
Mef2_4_6h-Mef2_6_8h	0.0293333333333333	0.970666666666667	0
Mef2_4_6h-Meso_SM	0.487	0	0.513
Mef2_6_8h-Mef2_8_10h	0.716666666666667	0.283333333333333	0
Mef2_6_8h-Meso_SM	0.195666666666667	0	0.804333333333333
Mef2_8_10h-Mef2_10_12h	0.855	0.145	0
Mef2_8_10h-Meso_SM	0.17	0	0.83
Mef2_10_12h-SM	0.736666666666667	0	0.263333333333333
Mef2_10_12h-Meso_SM	0.119666666666667	0	0.880333333333333
Mef2_10_12h-VM_SM	1	0	0
