nodes	zero	one	two
Meso-Twi_2_4h	0.944666666666667	0	0.0553333333333333
VM-Bin_6_8h	0.831	0	0.169
VM-Bin_8_10h	0.852666666666667	0	0.147333333333333
VM-Bin_10_12h	0.431666666666667	0	0.568333333333333
VM-Bap_6_8h	0.307	0	0.693
SM-Mef2_6_8h	0.683666666666667	0	0.316333333333333
SM-Mef2_8_10h	0.125	0	0.875
SM-Mef2_10_12h	0.985666666666667	0	0.0143333333333333
CM-Bin_10_12h	0.732333333333333	0	0.267666666666667
Meso_SM-Tin_2_4h	0.772333333333333	0	0.227666666666667
Meso_SM-Tin_4_6h	0.459333333333333	0	0.540666666666667
Meso_SM-Tin_6_8h	0.537333333333333	0	0.462666666666667
Meso_SM-Mef2_2_4h	0.980666666666667	0	0.0193333333333333
Meso_SM-Mef2_4_6h	0.806	0	0.194
Meso_SM-Mef2_6_8h	0.204	0	0.796
Meso_SM-Mef2_8_10h	0.106	0	0.894
Meso_SM-Mef2_10_12h	0.136	0	0.864
VM_SM-Bin_8_10h	0.316	0	0.684
VM_SM-Bin_10_12h	0.872666666666667	0	0.127333333333333
VM_SM-Twi_2_4h	0.887333333333333	0	0.112666666666667
VM_SM-Mef2_8_10h	0.645333333333333	0	0.354666666666667
VM_SM-Mef2_10_12h	1	0	0
Tin_2_4h-Tin_4_6h	0.269	0.731	0
Tin_2_4h-Twi_4_6h	0.356666666666667	0.352	0.291333333333333
Tin_4_6h-Twi_4_6h	0.690333333333333	0.309333333333333	0.000333333333333333
Tin_4_6h-Twi_6_8h	0.979333333333333	0.0113333333333333	0.00933333333333333
Tin_4_6h-Mef2_2_4h	0.979333333333333	0.00166666666666667	0.019
Tin_4_6h-Mef2_4_6h	0.372	0.628	0
Tin_6_8h-Bin_6_8h	0.0413333333333333	0.404666666666667	0.554
Tin_6_8h-Bap_6_8h	0.172	0.828	0
Bin_6_8h-Bin_8_10h	0.394333333333333	0.605666666666667	0
Bin_6_8h-Bin_10_12h	0.367333333333333	0.431666666666667	0.201
Bin_6_8h-Bap_6_8h	0.930666666666667	0.0693333333333333	0
Bin_8_10h-Bin_10_12h	0.687	0.313	0
Twi_2_4h-Twi_4_6h	0.0543333333333333	0.945666666666667	0
Twi_4_6h-Twi_6_8h	0.999666666666667	0.000333333333333333	0
Twi_4_6h-Mef2_4_6h	0.229333333333333	0.770666666666667	0
Twi_6_8h-Mef2_6_8h	0	1	0
Mef2_2_4h-Mef2_6_8h	0.000333333333333333	0.999666666666667	0
Mef2_2_4h-Mef2_10_12h	0.163666666666667	0.745333333333333	0.091
Mef2_4_6h-Mef2_6_8h	0.455	0.545	0
Mef2_6_8h-Mef2_8_10h	0.480666666666667	0.519333333333333	0
Mef2_8_10h-Mef2_10_12h	0.413666666666667	0.586333333333333	0
