edge	forward	back	absence
rs11305802-TMEM55B	0.208333333333333	0	0.791666666666667
rs11305802-RP11-203M5.8	0.727	0	0.273
rs11305802-PNP	1	0	0
rs11305802-PC1	0.274	0	0.726
rs11305802-PC2	0.14	0	0.86
rs11305802-PC6	0.266666666666667	0	0.733333333333333
rs11305802-PC7	0.143666666666667	0	0.856333333333333
rs11305802-PC9	0.374	0	0.626
TMEM55B-RP11-203M5.8	0.263333333333333	0.7	0.0366666666666667
TMEM55B-PNP	0.310666666666667	0.685666666666667	0.00366666666666667
TMEM55B-PC1	0.36	0.631666666666667	0.00833333333333333
TMEM55B-PC2	0.141666666666667	0.458333333333333	0.4
TMEM55B-PC6	0.0286666666666667	0.0673333333333333	0.904
TMEM55B-PC7	0.0403333333333333	0.0513333333333333	0.908333333333333
TMEM55B-PC9	0.280666666666667	0.704666666666667	0.0146666666666667
RP11-203M5.8-PNP	0.628666666666667	0.371333333333333	0
RP11-203M5.8-PC1	0.073	0.115666666666667	0.811333333333333
RP11-203M5.8-PC2	0.140666666666667	0.304	0.555333333333333
RP11-203M5.8-PC6	0.366	0.633666666666667	0.000333333333333333
RP11-203M5.8-PC7	0.161	0.084	0.755
RP11-203M5.8-PC9	0.0606666666666667	0.08	0.859333333333333
PNP-PC1	0.224666666666667	0.677666666666667	0.0976666666666667
PNP-PC2	0.212666666666667	0.732333333333333	0.055
PNP-PC6	0.0443333333333333	0.085	0.870666666666667
PNP-PC7	0.483333333333333	0.270333333333333	0.246333333333333
PNP-PC9	0.190666666666667	0.624333333333333	0.185
